ean;sku;manufacturer;title;stock;price
0088381751421;DLX7021TX1_MAK;Makita;Akumuliatorinių įrankių rinkinys MAKITA DLX7021TX1;4;1634.48
0088381766135;DDF484RGJ_MAK;Makita;Akumuliatorinis gręžtuvas MAKITA DDF484RGJ;4;508.68
4003773088127;903103BK_KNI;Knipex;Vamzdžių pjaustyklė KNIPEX TubiX XL Inox 6-76mm;4;117.26
4003773088165;1272190_KNI;Knipex;Antgalių presavimo replės KNIPEX 1272190;4;160.41
3165140817912;0601241200_bos;Bosch;Patikros kamera BOSCH GIC 120 C;4;422.18
4030293236219;515698_FLE;FLEX;Akumuliatorinis smūginis gręžtuvas FLEX PD 2G 18,0 EC C HD;4;202.71
3165140412995;0611332100_bos;Bosch;Perforatorius BOSCH GBH 4-32 DFR;4;646.24
0088381748995;DTD172Z_MAK;Makita;Akumuliatorinis smūginis suktuvas MAKITA DTD172Z;4;238.95
0088381760393;DHG181ZJ_MAK;Makita;Akumuliatorinė orapūtė MAKITA DHG181ZJ;4;221.92
4059952507811;06014A3000_bos;Bosch;Radijo imtuvas su bluetooth BOSCH GPB 18V-2 C;4;152.32
4030839322475;720831-48_ELT;ELTEN;Batai ELTEN Livas black red low ESD S1P, juodi 48;4;114.69
4030839322468;720831-47_ELT;ELTEN;Batai ELTEN Livas black red low ESD S1P, juodi 47;4;114.69
4030839322451;720831-46_ELT;ELTEN;Batai ELTEN Livas black red low ESD S1P, juodi 46;4;114.69
4030839322444;720831-45_ELT;ELTEN;Batai ELTEN Livas black red low ESD S1P, juodi 45;4;114.69
4030839322437;720831-44_ELT;ELTEN;Batai ELTEN Livas black red low ESD S1P, juodi 44;4;114.69
4030839322413;720831-42_ELT;ELTEN;Batai ELTEN Livas black red low ESD S1P, juodi 42;4;114.69
4030839322406;720831-41_ELT;ELTEN;Batai ELTEN Livas black red low ESD S1P, juodi 41;4;114.69
3165140988155;0601081601_bos;Bosch;Sienos skeneris BOSCH D-tect 200 C;4;951.38
0088381736596;DDF487RAJ_MAK;Makita;Akumuliatorinis gręžtuvas MAKITA DDF487RAJ;4;351.6
4030293238039;518409_FLE;FLEX;Akumuliatorinis švytuoklinis įrankis FLEX MT 18,0 EC C;4;180.5
4059952560076;1600A02149_bos;Bosch;Akumuliatorius BOSCH GBA ProCORE 18V 5,5Ah;4;175.84
088381581271;191T38-7_MAK;Makita Accessories;Aukštapjovės priedas MAKITA 191T38-7, 30cm;4;336
0088381751230;DFR551Z_MAK;Makita;Akumuliatorinis juostinis suktuvas MAKITA DFR551Z;4;382.42
0088381751186;DFR452Z_MAK;Makita;Akumuliatorinis juostinis suktuvas MAKITA DFR452Z;4;382.42
4058546361693;4933478887_MIL;Milwaukee;Akumuliatorinis perforatorius MILWAUKEE M18 FHX-0;4;495.87
4007140386113;259214RO_RUK;Ruko;19 dalių grąžtų rinkinys RUKO HSS-G;4;141.95
0088381756686;DLM481Z_MAK;Makita;Akumuliatorinė vejapjovė MAKITA DLM481Z;4;680.96
0088381756815;DLM539Z_MAK;Makita;Akumuliatorinė vejapjovė MAKITA DLM539Z;4;698.47
4058546372552;4932479461_MIL;Milwaukee Accessories;Akumuliatorinis antgalis dulkių siurbliui MILWAUKEE M12 AUN-0;4;140
045242547777;48899340_MIL;Milwaukee Accessories;Pakopinis grąžtas MILWAUKEE 6-40mm;4;166.73
4058546375621;4933479768_MIL;Milwaukee;Įkraunamas prožektorius ant galvos MILWAUKEE L4 HL-VIS-301;4;121.04
4058546408442;4932480559_MIL;Milwaukee Accessories;One Key QR kodo lipdukas MILWAUKEE AIDTSP-200, 200vnt.;4;143.61
